request_id,latency_seconds
684,129.39865493774414
685,105.24553608894348
686,107.16706609725952
687,107.16981101036072
688,129.42609691619873
689,107.27045178413391
690,128.16278409957886
691,130.3175868988037
692,128.2239408493042
693,107.23003268241882
694,107.25876498222351
695,129.4193971157074
696,107.15389895439148
697,128.09797501564026
698,107.15151309967041
699,98.56027007102966
700,128.66084790229797
701,107.24838495254517
702,128.2155122756958
703,128.65628695487976
704,107.21174311637878
705,105.29799175262451
706,129.4080729484558
707,107.20939183235168
708,107.25355291366577
709,128.15255618095398
710,107.25161600112915
711,107.2326991558075
712,128.1517791748047
713,107.27417373657227
714,106.83598518371582
715,128.64519810676575
716,107.2621579170227
717,107.23305869102478
718,107.23370099067688
719,128.2071988582611
720,107.23004698753357
721,128.16521906852722
722,107.19287204742432
723,107.12773513793945
724,107.13728094100952
725,107.12244892120361
726,128.6396107673645
727,107.1270227432251
728,130.10420393943787
729,128.64116621017456
730,107.23491477966309
731,107.05447912216187
732,107.26009011268616
733,107.05488276481628
734,107.11481213569641
735,107.21740293502808
736,107.11232900619507
737,107.2209689617157
738,107.21789002418518
739,128.154846906662
740,130.09996914863586
741,128.15360283851624
742,105.92665600776672
743,107.20530772209167
744,107.10500001907349
745,107.23289823532104
746,107.17716383934021
747,129.29610896110535
748,107.20116209983826
749,128.15252995491028
750,107.20618796348572
751,107.20840501785278
752,106.45215606689453
753,129.2965431213379
754,107.19763493537903
755,107.19949698448181
756,107.16316103935242
757,107.15821695327759
758,107.1975588798523
759,107.10014915466309
760,128.5956358909607
761,107.15448307991028
762,107.18934488296509
763,107.19003629684448
764,107.08778119087219
765,107.2333607673645
766,129.32087683677673
767,105.16083288192749
768,107.18870973587036
769,107.21540975570679
770,107.11040568351746
771,128.14449906349182
772,107.17691278457642
773,129.31274390220642
774,107.17573499679565
775,98.48369312286377
776,107.07483196258545
777,107.20397734642029
778,128.59650206565857
779,107.18094897270203
780,107.00076103210449
781,128.5820209980011
782,128.5686321258545
783,107.16169333457947
784,107.16435503959656
785,107.12531089782715
786,107.05497479438782
787,107.1590940952301
788,106.73708391189575
789,107.16647291183472
790,107.11124873161316
791,128.55616998672485
792,107.14344811439514
793,107.10199427604675
794,107.14255809783936
795,107.13382816314697
796,128.55728101730347
797,107.10362124443054
798,107.0389187335968
799,107.17613697052002
800,129.2743639945984
801,107.17798686027527
802,107.03121495246887
803,107.09893298149109
804,107.0997941493988
805,107.02777600288391
806,107.12569069862366
807,107.02348971366882
808,105.15233612060547
809,107.09720182418823
810,130.18152904510498
811,107.14592909812927
812,107.15968465805054
813,107.1276478767395
814,107.03757500648499
815,130.1481900215149
816,128.5299620628357
817,107.08349394798279
818,129.24527597427368
819,105.89330983161926
820,107.01465487480164
821,129.24281692504883
